"latitude;";longitude
"41.144981084204;";-8.64484276949602
"41.1449809706561;";-8.64477876896349
"41.1449806;";-8.6448072
"41.1449793520451;";-8.64479770134697
"41.1449792;";-8.6448304
"41.1449758333333;";-8.6447865
"41.1449758150066;";-8.64487096668094
"41.1449733788397;";-8.64478703108541
"41.1449721;";-8.644835
"41.1449703333333;";-8.64479583333333
"41.144969654308;";-8.64483928308696
"41.1449686768288;";-8.64481005412618
"41.1449680819479;";-8.64482500480389
"41.1449680578206;";-8.64478113018477
"41.1449672531065;";-8.64478110995194
"41.1449664;";-8.6448551
"41.1449655;";-8.6448449
"41.1449654536902;";-8.64484449423992
"41.1449652248407;";-8.6448963022566
"41.1449642;";-8.6447771
"41.1449623;";-8.6448229
"41.1449614819524;";-8.64481497556776
"41.1449613595775;";-8.64474724396041
"41.1449595541147;";-8.64482453093737
"41.1449593692725;";-8.64483680417345
"41.1449592879889;";-8.64482164783247
"41.1449588333333;";-8.64477116666666
"41.144957;";-8.6448138
"41.1449564;";-8.644824
"41.1449563207341;";-8.64478420733351
"41.1449553093235;";-8.64480420726344
"41.1449549;";-8.6447205
"41.1449549;";-8.6447763
"41.1449548;";-8.6449049
"41.1449546833333;";-8.64486026666666
"41.1449537;";-8.6448689
"41.1449525;";-8.64481666666666
"41.1449516666666;";-8.64483849999999
"41.1449513333333;";-8.6447945
"41.1449508333333;";-8.64480616666666
"41.1449496666666;";-8.64478816666666
"41.1449488333333;";-8.64481466666666
"41.1449479532494;";-8.64483951259433
"41.1449473;";-8.6447762
"41.1449451666666;";-8.64483983333333
"41.1449436;";-8.6447739
"41.1449429998557;";-8.6448370199731
"41.1449406615566;";-8.64486019075522
"41.1449381666666;";-8.64482416666666
"41.1449373031157;";-8.64485691598763
"41.1449361714066;";-8.64482383768257
"41.1449356666666;";-8.64483233333333
"41.1449345949146;";-8.64481584383802
"41.1449329;";-8.644824
"41.1449286514294;";-8.64483899783387
"41.1449262;";-8.6448255
"41.1449243;";-8.6448443
"41.1449165;";-8.6447978
"41.1449158;";-8.6448257
"41.1449135374661;";-8.64481170662552
"41.1449123333333;";-8.64475833333333
"41.1448888946707;";-8.64482042380482
"41.1448236;";-8.6448519
"41.1446064;";-8.6449709
"41.1443494861315;";-8.61830260170304
"41.1442790985011;";-8.61832234546802
"41.1442158;";-8.6468724
"41.1442138160702;";-8.64693189767646
"41.1442008635478;";-8.64692402969867
"41.144199315497;";-8.64688647911757
"41.1441938494988;";-8.64692597498547
"41.14419175;";-8.64694499999999
"41.1441894795307;";-8.64690685277587
"41.1441888;";-8.6469654
"41.1441878322896;";-8.64692394622475
"41.1441874955435;";-8.64691174931332
"41.1441831378365;";-8.64694444450724
"41.1441828;";-8.6469444
"41.1441802;";-8.6469397
"41.1441795;";-8.646928
"41.1441794;";-8.6469408
"41.1441785462094;";-8.64691064457473
"41.1441776617181;";-8.64695067556726
"41.1441716666666;";-8.64689999999999
"41.1441709008453;";-8.64689444192559
"41.1441697;";-8.6469407
"41.1441674;";-8.6469114
"41.1441658333333;";-8.64693366666666
"41.1441651;";-8.6469338
"41.1441646;";-8.6469257
"41.1441644;";-8.646912
"41.1441618;";-8.6469305
"41.1441596666666;";-8.64689716666666
"41.1441553164942;";-8.64688047135758
"41.1441539694007;";-8.64688094706148
"41.1441525;";-8.6469079
"41.1441502;";-8.6468654
"41.1439936;";-8.6220736
"41.1439874;";-8.6219803
"41.1439485289541;";-8.62199365162162
"41.1439337;";-8.622008
"41.1437944909209;";-8.61085184563389
"41.1437927912808;";-8.61079967006797
"41.1437849675757;";-8.61280175269821
"41.1437766029228;";-8.61278743894596
"41.1437758198393;";-8.61295921728817
"41.1437705392403;";-8.61295091920403
"41.1437683166666;";-8.61300373333333
"41.1437562;";-8.6107882
"41.1437508877817;";-8.61272775245621
"41.1437386727143;";-8.61280771840725
"41.143738656653;";-8.6128338113983
"41.143735776544;";-8.61074872512607
"41.1437344862303;";-8.61076247729439
"41.1437330317926;";-8.61081013866401
"41.1437295;";-8.6108291
"41.1437220418048;";-8.61278120267436
"41.1437191;";-8.6128609
"41.1437153755306;";-8.61078334506041
"41.1437107157118;";-8.61285995240558
"41.1437096666666;";-8.61289416666666
"41.1437085440977;";-8.61278486440513
